text,label
"Feature Matching under Region-Based Constraints for Robust Epipolar Geometry Estimation. (Co-authors: Wei Xu, Jane Mulligan, Conference: null)",1_19
"Effective Prediction and its Computational Complexity (Co-authors: Richard Taylor, Conference: CATS)",84_1
"CORBA Lightweight Compontents: An Early Report (Co-authors: Diego Sevilla, Jose M. Garcia, Antonio F. Gomez-Skarmeta, Conference: JISBD)",98_0
"Error Probability of OFDM Systems Impaired by Carrier Frequency Offset in Frequency Selective Rayleigh Fading Channels (Co-authors: Peng Zhou, Ming Jiang, Chunming Zhao, Wei Xu, Conference: ICC)",1_30
"Integration de la synthese memoire dans l'outil de synthese d'architecture GAUT Low Power (Co-authors: Gwenole Corre, Nathalie Julien, Eric Senn, Eric Martin, Conference: CoRR)",0_1
"Rate control for advance video coding (AVC) standard (Co-authors: Siwei Ma, Wen Gao, Peng Gao, Yan Lu, Conference: ISCAS (2))",23_0
"iQL: A Query Language for the Instance-Based Data Model (Co-authors: Jeffrey Parsons, Jianmin Su, Conference: ER)",20_0
"Precoded Single Carrier Data Transmission with Orthogonal Frequency Domain Multiplexing Pilots (Co-authors: Fan Wang, Jun Tan, Ye Li, Conference: ICC)",107_4
"Power-Aware Test Data Compression for Embedded IP Cores (Co-authors: N. Badereddine, Z. Wang, P. Girard, K. Chakrabarty, S. Pravossoudovitch, C. Landrault, Conference: Proceedings of the 15th Asian Test Symposium)",61_28
"Spherical Parameterization for 3D Surface Analysis in Volumetric Images (Co-authors: Li Shen, Fillia Makedon, Conference: ITCC (1))",51_0
"An Architecture for Operating System Support of Distributed Multimedia Systems (Co-authors: Ya Xu, Cyril U. Orji, Yi Deng, Naphtali Rishe, Conference: IW-MMDBMS)",93_0
"Hierarchical stereo correspondence using features of gray connected components (Co-authors: Yang Wang, Prabir Bhattacharya, Conference: ICIP (3))",39_29
"The new economy: an engineer's perspective (Co-authors: David Brown, Conference: WWW)",83_9
"Support for Irregular Computation in High Performance Fortran (Abstract) (Co-authors: Robert Schreiber, Conference: IRREGULAR)",67_0
"Fault-Tolerant Cache Coherence Protocols for CMPs: Evaluation and Trade-Offs (Co-authors: Ricardo Fernandez Pascual, Jose M. Garcia, Manuel E. Acacio, Jose Duato, Conference: HiPC)",98_0
"Seamless switching of scalable video bitstreams for efficient streaming (Co-authors: Xiaoyan Sun, Feng Wu, Shipeng Li, Wen Gao, Ya-Qin Zhang, Conference: IEEE Transactions on Multimedia)",23_0
"Web Search Using Dynamic Keyword Suggestion Based on Formal Concept Analysis (Co-authors: Bong-Seop Kim, Young Park, Conference: IRI)",80_6
"An Evolutionary Algorithm for the Design of Hybrid Fiber Optic-Coaxial Cable Networks in Small Urban Areas (Co-authors: Pablo Cortes, Fernando Guerrero, David Canca, Jose M. Garcia, Conference: IWANN (1))",98_1
"Interactive Semisupervised Learning for Microarray Analysis (Co-authors: Yijuan Lu, Qi Tian, Feng Liu, Maribel Sanchez, Yufeng Wang, Conference: IEEE/ACM Trans. Comput. Biology Bioinform.)",57_22
"Nonhomogeneous Trellis codes for the Quasi-Synchronous Multiple-Access Binary adder channel with Two Users (Co-authors: Shu Lin, Victor K.-W. Wei, Conference: IEEE Transactions on Information Theory)",26_0
"Linear transform based motion compensated prediction for luminance intensity changes (Co-authors: Debing Liu, Yuwen He, Shipeng Li, Qingming Huang, Wen Gao, Conference: ISCAS (1))",23_0
"Learning Bayesian Networks with Combination of MRMR Criterion and EMI Method (Co-authors: Fengzhan Tian, Feng Liu, Zhihai Wang, Jian Yu, Conference: PAKDD)",57_2
"A Semantic QoS-Aware Discovery Framework for Web Services (Co-authors: Qian Ma, Hao Wang, Ying Li, Guotong Xie, Feng Liu, Conference: ICWS)",57_6
"Performance analysis of practical RDT interconnection networks with SINOMP (Co-authors: Yang Yu, Yulu Yang, Conference: ISPAN)",90_16
"Iterative Learning from Texts and Counterexamples Using Additional Information (Co-authors: Sanjay Jain, Efim B. Kinber, Conference: ALT)",47_0
"Kernel based articulated object tracking with scale adaptation and model update. (Co-authors: Anbang Yao, Guijin Wang, Xinggang Lin, Hao Wang, Conference: null)",69_3
"P2P Recommendation Trust Model. (Co-authors: Xuan Wang, Lei Wang, Conference: null)",85_0
"Decomposition methods for convolution operators (Co-authors: Zohra Z. Manseur, David C. Wilson, Conference: CVGIP: Graphical Model and Image Processing)",59_2
"Arnetminer: expertise oriented search using social networks (Co-authors: Juanzi Li, Jie Tang, Jing Zhang, Qiong Luo, Yunhao Liu, MingCai Hong, Conference: Frontiers of Computer Science in China)",105_13
"A framework for resilient Internet routing protocols (Co-authors: Dan Pei, Lixia Zhang, Daniel Massey, Conference: IEEE Network)",75_0
"Understand behavior and performance of Real Coded Optimization Algorithms via NK-linkage model (Co-authors: Yu Wang, Bin Li, Conference: IEEE Congress on Evolutionary Computation)",11_5
"Analysis of BGP Update Surge during Slammer Worm Attack (Co-authors: Mohit Lad, Xiaoliang Zhao, Beichuan Zhang, Daniel Massey, Lixia Zhang, Conference: IWDC)",75_0
"Adaptive spectrum-based variable bit truncation of discrete cosine transform (DCT) for energy-efficient wireless multimedia communication (Co-authors: Feng Liu, Chi-Ying Tsui, Conference: ESTImedia)",57_14
"Guided test generation for isolation and detection of embedded trojans in ics (Co-authors: Mainak Banga, Maheshwar Chandrasekar, Lei Fang, Michael S. Hsiao, Conference: ACM Great Lakes Symposium on VLSI)",63_1
"Identifying Clusters from Positive Data (Co-authors: John Case, Sanjay Jain, Eric Martin, Arun Sharma, Frank Stephan, Conference: Electronic Colloquium on Computational Complexity (ECCC))",0_0
"A Robust Speaking Face Modelling Approach Based on Multilevel Fusion (Co-authors: Girija Chetty, Michael Wagner, Conference: DICTA)",43_1
"High Resolution Tracking of Non-Rigid 3D Motion of Densely Sampled Data Using Harmonic Maps (Co-authors: Yang Wang, Mohit Gupta, Song Zhang, Sen Wang, Xianfeng Gu, Dimitris Samaras, Peisen Huang, Conference: ICCV)",39_9
"A Framework for the Modeling and Prototyping of Distributed Information Systems (Co-authors: Yi Deng, Shi-Kuo Chang, Conference: International Journal of Software Engineering and Knowledge Engineering)",93_0
"Video Local Pattern based Image Matching for Visual Mapping (Co-authors: Lei Wang, Hongdong Li, Richard I. Hartley, Conference: ICPR (3))",85_5
"Push-assisted migration of real-time tasks in multi-core processors (Co-authors: Abhik Sarkar, Frank Mueller, Harini Ramaprasad, Sibin Mohan, Conference: LCTES)",8_0
"Influence of selection and replacement strategies on linkage learning in BOA (Co-authors: Claudio F. Lima, Martin Pelikan, David E. Goldberg, Fernando G. Lobo, Kumara Sastry, Mark Hauschild, Conference: IEEE Congress on Evolutionary Computation)",34_0
"Fault-Tolerant Routing Algorithm for RDT Structure (Co-authors: Yang Yu, Tao Li, Yulu Yang, Xiaoshe Dong, Conference: ISPAN)",90_16
"Newsmap: a knowledge map for online news (Co-authors: Thian-Huat Ong, Hsinchun Chen, Wai-Ki Sung, Bin Zhu, Conference: Decision Support Systems)",9_0
"Stochastic Fluid Theory for P2P Streaming Systems (Co-authors: Rakesh Kumar, Yong Liu, Keith W. Ross, Conference: INFOCOM)",29_6
"T1DBase, a community web-based resource for type 1 diabetes research (Co-authors: Luc J. Smink, Erin M. Helton, Barry C. Healy, Christopher C. Cavnor, Alex C. Lam, Daisy Flamez, Oliver S. Burren, Yang Wang, Geoffrey E. Dolman, David B. Burdick, Vincent H. Everett, Gustavo Glusman, Davide Laneri, Lee Rowen, Helen Schuilenburg, Neil M. Walker, Josyf Mychaleckyj, Linda S. Wicker, Decio L. Eizirik, John A. Todd, Nathan Goodman, Conference: Nucleic Acids Research)",39_54
"On-Line Signature Verification Based on PCA (Principal Component Analysis) and MCA (Minor Component Analysis) (Co-authors: Bin Li, Kuanquan Wang, David Zhang, Conference: ICBA)",11_18
"Queues Are Databases (Co-authors: Jim Gray, Conference: CoRR)",99_1
"Reliability-Based Syndrome Decoding of Linear Block Codes (Co-authors: Marc P. C. Fossorier, Shu Lin, Jakov Snyders, Conference: IEEE Transactions on Information Theory)",26_0
"CHAMP: A Prototype for Automated Cellular Churn Prediction (Co-authors: Brij M. Masand, Piew Datta, D. R. Mani, Bin Li, Conference: Data Min. Knowl. Discov.)",11_56
"Large Deformation Diffeomorphism and Momentum Based Hippocampal Shape Discrimination in Dementia of the Alzheimer type (Co-authors: Lei Wang, Mirza Faisal Beg, J. Tilak Ratnanather, C. Ceritoglu, Laurent Younes, J. C. Morris, John G. Csernansky, Michael I. Miller, Conference: IEEE Trans. Med. Imaging)",85_97
"Simulating Wrinkles in Facial Expressions on an Anatomy-Based Face (Co-authors: Yu Zhang, Terence Sim, Chew Lim Tan, Conference: International Conference on Computational Science (2))",109_0
"The Research of Complex System Modeling Based on Fractal Conception (Co-authors: Lei Wang, Z. Zuo, Yunshi Xiao, Q. Wu, Conference: WAA)",85_67
"The Economics of Network Management (Co-authors: Alok Gupta, Dale O. Stahl, Andrew B. Whinston, Conference: Commun. ACM)",35_0
"Fast Sensor Placement Algorithms for Fusion-Based Target Detection. (Co-authors: Zhaohui Yuan, Rui Tan, Guoliang Xing, Chenyang Lu, Yixin Chen, Jianping Wang, Conference: null)",5_1
"Nonlinear Generalized Predictive Control Based on Inverse System Using Wavelet Networks (Co-authors: J. Guo, Q. Chen, W. Hu, S. Xu, Conference: WAA)",86_1
"Criminal Cross Correlation Mining and Visualization (Co-authors: Peter Phillips, Ickjai Lee, Conference: PAISI)",4_2
"Term matching on parallel computers (Co-authors: R. Ramesh, R. M. Verma, T. Krishaprasad, I. V. Ramakrishnan, Conference: Journal of Logic Programming)",70_0
"An Active Conceptual Model for Fixed Income Securities Analysis for Multiple Financial Institutions (Co-authors: Allen Moulton, Stephane Bressan, Stuart E. Madnick, Michael Siegel, Conference: ER)",77_1
"Servo: a programming model for many-core computing (Co-authors: Nicolas Zea, John Sartori, Rakesh Kumar, Conference: ACM SIGARCH Computer Architecture News)",29_1
"Bit-Sequences: An Adaptive Cache Invalidation Method in Mobile Client/Server Environments (Co-authors: Jin Jing, Ahmed K. Elmagarmid, Abdelsalam Helal, Rafael Alonso, Conference: MONET)",65_0
"Soft-output detection of CPM signals in frequency flat, Rayleigh fading channels (Co-authors: R. Balasubramanian, Michael P. Fitz, Conference: IEEE Journal on Selected Areas in Communications)",74_5
"Building Text Classifiers Using Positive and Unlabeled Examples (Co-authors: Bing Liu, Yang Dai, Xiaoli Li, Wee Sun Lee, Philip S. Yu, Conference: ICDM)",94_0
"Common Nature of Learning Exemplified by BP and Hopfield Neural Networks for Solving Online a System of Linear Equations (Co-authors: Yunong Zhang, Zhan Li, Ke Chen, Binghuang Cai, Conference: ICNSC)",58_9
"Writing device drivers with Turbo C (Co-authors: Robert Allen, Conference: MS-DOS system programming (2nd ed.))",106_3
"Bilateral Testing of Nano-scale Fault-tolerant Circuits (Co-authors: Lei Fang, Michael S. Hsiao, Conference: DFT)",63_1
"A package for the analytic investigation and exact solution of differential equations (Co-authors: Thomas Wolf, Conference: EUROCAL)",45_1
"Guest editorial (Co-authors: Srinivasan Parthasarathy, Bing Liu, Conference: Cognitive Technologies)",94_0
"A Hardwar Operating System for Dynamic Reconfiguration of FPGAs (Co-authors: Pedro Merino, Juan Carlos Lopez, Margarida F. Jacome, Conference: FPL)",13_0
"EventScope: Bringing Remote Experience of Mars to the Public through Telepresence (Co-authors: Eben Myers, Peter Coppin, Michael Wagner, Karl Fischer, Luisa Lu, W. Ronald McCloskey, David Seneker, Conference: INFOVIS)",43_1
"Database and Transaction Processing Benchmarks (Co-authors: Jim Gray, Conference: SIGMOD Conference)",99_1
"Logical Foundations of Negotiation: Outcome, Concession, and Adaptation (Co-authors: Thomas Andreas Meyer, Norman Y. Foo, Rex Kwok, Dongmo Zhang, Conference: AAAI)",79_1
"Robust and Adaptive Backstepping Control for Nonlinear Systems Using Fuzzy Logic Systems (Co-authors: Gang Chen, Shuqing Wang, Jianming Zhang, Conference: FSKD (2))",108_5
"Translation Validation for Synchronous Languages (Co-authors: Amir Pnueli, Ofer Strichman, Michael Siegel, Conference: ICALP)",77_3
"Model-guided information discovery for intelligence analysis (Co-authors: Rafael Alonso, Hua Li, Conference: CIKM)",65_0
"DynaMine: finding common error patterns by mining software revision histories (Co-authors: V. Benjamin Livshits, Thomas Zimmermann, Conference: ESEC/SIGSOFT FSE)",6_1
"Mobile and replicated alignment of arrays in data-parallel programs (Co-authors: Siddhartha Chatterjee, John R. Gilbert, Robert Schreiber, Conference: SC)",67_0
"Reliable Robust Controller Design for Nonlinear State-Delayed Systems Based on Neural Networks (Co-authors: Yanjun Shen, Hui Yu, Jigui Jian, Conference: ICONIP (3))",96_8
"Fast SiGe HBT BiCMOS FPGAs with New Architecture and Power Saving Techniques (Co-authors: Channakeshav, Kuan Zhou, Jong-Ru Guo, Chao You, Bryan S. Goda, Russell P. Kraft, John F. McDonald, Conference: FPL)",30_0
"Tightness Time for the Linkage Learning Genetic Algorithm (Co-authors: Ying-Ping Chen, David E. Goldberg, Conference: GECCO)",34_0
"Performance Evaluation of a Firewall-Compliant Globus-based Wide-Area Cluster System (Co-authors: Yoshio Tanaka, Motonori Hirano, Mitsuhisa Sato, Hidemoto Nakada, Satoshi Sekiguchi, Conference: HPDC)",92_0
"Automatic determination of dynamical symmetries of ordinary differential equations (Co-authors: Hans-Jürgen Pohle, Thomas Wolf, Conference: Computing)",45_1
"Independent Motion Detection in 3D Scenes (Co-authors: Harpreet S. Sawhney, Yanlin Guo, Jane C. Asmuth, Rakesh Kumar, Conference: ICCV)",29_5
"Process and processor interaction: architecture independent visualisation schema (Co-authors: Eugenio Zabala, Richard Taylor, Conference: Environments and tools for parallel scientific computing)",84_8
"Semi-supervised Learning of Caricature Pattern from Manifold Regularization (Co-authors: Junfa Liu, Yiqiang Chen, Jinjing Xie, Xingyu Gao, Wen Gao, Conference: MMM)",23_0
"Identifying Clusters from Positive Data (Co-authors: John Case, Sanjay Jain, Eric Martin, Arun Sharma, Frank Stephan, Conference: SIAM J. Comput.)",47_0
"Two Extensions of PX system (Co-authors: Susumu Hayashi, Masakazu Ishikawa, Satoshi Kobayashi, Hiroshi Nakano, Syuichi Nakazaki, Conference: Electr. Notes Theor. Comput. Sci.)",100_1
"Experience from a Real Life Query Optimizer (Co-authors: Yun Wang, Conference: SIGMOD Conference)",89_17
"The LLAMA Middleware Support for Accountable Service-Oriented Architecture (Co-authors: Mark Panahi, Kwei-Jay Lin, Yue Zhang, Soo-Ho Chang, Jing Zhang, Leonardo Varela, Conference: ICSOC)",105_36
"Fcast Multicast File Distribution: 'Tune in, Download, and Drop Out (Co-authors: Jim Gemmell, Eve M. Schooler, Jim Gray, Conference: IMSA)",99_1
"A Robust Method for Unknown Forms Analysis (Co-authors: Li Xingyuan, Wen Gao, David S. Doermann, Weon-Geun Oh, Conference: ICDAR)",23_0
"Research of Atomic and Anonymous Electronic Commerce Protocol (Co-authors: Jie Tang, Juan-Zi Li, Kehong Wang, Yue-Ru Cai, Conference: RSFDGrC)",14_1
"Research on the Optimal Transmission Design of Planar Bar Mechanism (Co-authors: Shijie Fang, Lei Zhang, Jing Zhang, Yantao Wang, Conference: CSCWD)",105_15
"Rigorously Defining and Analyzing Medical Processes: An Experience Report (Co-authors: Stefan Christov, Bin Chen, George S. Avrunin, Lori A. Clarke, Leon J. Osterweil, David Brown, Lucinda Cassells, Wilson Mertens, Conference: Models in Software Engineering: Workshops and Symposia at MoDELS 2007, Nashville, TN, USA, September 30 - October 5, 2007, Reports and Revised Selected Papers)",83_8
"Knowledge discovery in database by Progol-design, implementation and its application to expert system building (Co-authors: Keiko Shimazu, Koichi Furukawa, Conference: SAC)",71_0
"Topology Selection in Unrooted Molecular Phylogenetic Tree By Minimum Model-Based Complexity Method (Co-authors: Hiroshi Tanaka, Fengrong Ren, Toshitsugu Okayama, Takashi Gojobori, Conference: Pacific Symposium on Biocomputing)",81_1
"The transaction concept: virtues and limitations (Co-authors: Jim Gray, Conference: Readings in database systems)",99_1
"A dynamic learning model for on-line quality control using the TAGUCHI approach (Co-authors: H. Raghav Rao, M. V. Thirumurthy, Ram Ramesh, Conference: Applied Artificial Intelligence)",70_5
"Delivering a Fully Interactive Mobile TV (Co-authors: Dian Tjondronegoro, Lei Wang, Adrien Joly, Conference: IJWIS)",85_79
"An Agent-based Simulation Study for Exploring Organizational Adaptation (Co-authors: Jiang Wu, Bin Hu, Yu Zhang, Catherine Spence, Steven B. Hall, Kathleen M. Carley, Conference: Simulation)",109_5
"A System for Automatic Generation of Music Sports-Video (Co-authors: Weigang Zhang, Liyuan Xing, Qingming Huang, Wen Gao, Conference: ICME)",23_0
"A Conditional Random Field Model for Video Super-resolution (Co-authors: Dan Kong, Mei Han, Wei Xu, Hai Tao, Yihong Gong, Conference: ICPR (3))",1_17
"Bounding Worst-Case Data Cache Behavior by Analytically Deriving Cache Reference Patterns (Co-authors: Harini Ramaprasad, Frank Mueller, Conference: IEEE Real-Time and Embedded Technology and Applications Symposium)",8_0
"Control of a 3-dimensional snake-like robot (Co-authors: Shugen Ma, Yoshihiro Ohmameuda, Kousuke Inoue, Bin Li, Conference: ICRA)",11_33
"A novel coefficient scanning scheme for directional spatial prediction-based image compression (Co-authors: Xiaopeng Fan, Yan Lu, Wen Gao, Conference: Proceedings of the 2003 International Conference on Multimedia and Expo - Volume 1)",23_0
"The conductor interaction method (Co-authors: Dorothy Rachovides, James Walkerdine, Peter Phillips, Conference: TOMCCAP)",4_0
"On Algebraic Construction of Gallager and Circulant Low-Density Parity-Check Codes (Co-authors: Heng Tang, Jun Xu, Yu Kou, Shu Lin, Khaled A. S. Abdel-Ghaffar, Conference: IEEE Transactions on Information Theory)",26_0
"A dynamic scalable service model for SIP-based video conference. (Co-authors: Zhen Yang, Huadong Ma, Ji Zhang, Conference: null)",24_4
"Parallel Solution in Simulation of Cardiac Excitation Anisotropic Propagation (Co-authors: Yu Zhang, Ling Xia, Yinglan Gong, Ligang Chen, Guanghuan Hou, Min Tang, Conference: FIMH)",109_25
"Social influence analysis in large-scale networks (Co-authors: Jie Tang, Jimeng Sun, Chi Wang, Zi Yang, Conference: KDD)",14_1
"Sigma Set: A small second order statistical region descriptor. (Co-authors: Xiaopeng Hong, Hong Chang, Shiguang Shan, Xilin Chen, Wen Gao, Conference: null)",23_0
"Evaluation Mode Research on Particle Swarm Optimization Algorithm (Co-authors: Qi Kang, Lei Wang, Hui Xiao, Qidi Wu, Conference: ICNSC)",85_67
"Fast instruction cache analysis via static cache simulation (Co-authors: Frank Mueller, David B. Whalley, Conference: Annual Simulation Symposium)",8_0
"Video indexing by motion activity maps (Co-authors: Wei Zeng, Wen Gao, Debin Zhao, Conference: ICIP (1))",23_0
"Test generation with respect to distributed interfaces (Co-authors: Gang Luo, Rachida Dssouli, Gregor V. Bochmann, Pallapa Venkataram, Abderrazak Ghedamsi, Conference: Computer Standards Interfaces)",12_1
"Sharing Jobs Among Independently Owned Processors (Co-authors: Rafael Alonso, Luis L. Cova, Conference: ICDCS)",65_0
"Interoperability Issues for a Secure Mobile Agent Platform (Co-authors: David Levine, Farhad Kamangar, Vamsi Putrevu, Conference: PDPTA)",50_1
"Tradeoffs in building a generic supply chain simulation capability (Co-authors: Sanjay Jain, Conference: Winter Simulation Conference)",47_4
"Gravity-Center Template Based Human Face Feature Detection (Co-authors: Jun Miao, Wen Gao, Yiqiang Chen, Jie Lu, Conference: ICMI)",23_0
"A comparison of 'traditional' and multimedia information systems development practices (Co-authors: Chris Barry, Michael Lang, Conference: Information  Software Technology)",41_3
"A covariance-based method for dynamic background subtraction (Co-authors: Shengping Zhang, Hongxun Yao, Shaohui Liu, Xilin Chen, Wen Gao, Conference: ICPR)",23_0
"Achieving Distributed Trusted Services (Co-authors: Omaima Bamasak, Ning Zhang, Conference: ITCC (1))",21_0
"Framework for the Analysis of the Adaptability, Extensibility, and Scalability of Semantic Information Integration and the Context Mediation Approach (Co-authors: Thomas Gannon, Stuart E. Madnick, Allen Moulton, Michael Siegel, Marwan Sabbouh, Hongwei Zhu, Conference: HICSS)",77_1
"An Effective PSO-Based Memetic Algorithm for Flow Shop Scheduling (Co-authors: Bo Liu, Ling Wang, Yihui Jin, Conference: IEEE Transactions on Systems, Man, and Cybernetics, Part B)",42_4
"Real-time Competition Simulation System (Co-authors: Jing Zhang, Yan-bo Li, Maozu Guo, Conference: IMSCCS)",105_9
"HAND: An Overlay Optimization Algorithm in Peer-to-Peer Systems (Co-authors: Xiaoming Chen, Zhoujun Li, Yongzhen Zhuang, Jinsong Han, Lei Chen, Conference: HPCC)",54_1
"Circuits, handles, bridges and nets (Co-authors: Javier Esparza, Manuel Silva, Conference: Proceedings on Advances in Petri nets 1990)",73_0
"A Graph-Based Algorithm for Mining Maximal Frequent Itemsets (Co-authors: Bo Liu, Jiuhui Pan, Conference: FSKD (3))",42_8
"A Social Network-Based Trust Model for the Semantic Web (Co-authors: Yu Zhang, Huajun Chen, Zhaohui Wu, Conference: ATC)",109_2
"Blind Source Separation of Temporal Correlated Signals (Co-authors: Bin Xia, Hong Xie, Conference: Proceedings of the 2007 Third International IEEE Conference on Signal-Image Technologies and Internet-Based System)",3_5
"SenCast: Scalable multicast in wireless sensor networks (Co-authors: Shaoliang Peng, Shanshan Li, Lei Chen, Nong Xiao, Yuxing Peng, Conference: IPDPS)",54_1
"Semi-Supervised Discriminant Analysis using robust path-based similarity (Co-authors: Yu Zhang, Dit-Yan Yeung, Conference: CVPR)",109_19
