text;label
Pipelined Memory Controllers for DSP Applications Handling Unpredictable Data Accesses (Co-authors: Bertrand Le Gal, Emmanuel Casseau, Sylvain Huet, Eric Martin, Conference: ISVLSI);01
Power Consumption Estimation of a C Program for Data-Intensive Applications (Co-authors: Eric Senn, Nathalie Julien, Johann Laurent, Eric Martin, Conference: PATMOS);01
SoftExplorer: Estimation, Characterization, and Optimization of the Power and Energy Consumption at the Algorithmic Level (Co-authors: Eric Senn, Johann Laurent, Nathalie Julien, Eric Martin, Conference: PATMOS);01
DVB-DSNG Modem High Level Synthesis in an Optimized Latency Insensitive System Context (Co-authors: Pierre Bomel, Nabil Abdelli, Eric Martin, Anne-Marie Fouilliart, Emmanuel Boutillon, Philippe Kajfasz, Conference: SAMOS);01
Communication and Timing Constraints Analysis for IP Design and Integration (Co-authors: Philippe Coussy, Adel Baganne, Eric Martin, Conference: VLSI-SOC);01
SystemCmantic: A high level Modelling and Co-Design Framework (Co-authors: L. Kriaa, S. Adriano, E. Vaumorin, R. Nouacer, F. Blanc, S. Pajaniardja, Philippe Coussy, Eric Martin, D. Heller, F. Thabet, Anne-Marie Fouilliart, Conference: FDL);01
A Methodology for Efficient Space-Time Adapter Design Space Exploration: A Case Study of an Ultra Wide Band Interleaver (Co-authors: Cyrille Chavet, Philippe Coussy, Pascal Urard, Eric Martin, Conference: CoRR);01
A Design Methodology for Space-Time Adapter (Co-authors: Cyrille Chavet, Philippe Coussy, Pascal Urard, Eric Martin, Conference: CoRR);01
Methodologie de modelisation et d'implementation d'adaptateurs spatio-temporels (Co-authors: Cyrille Chavet, Philippe Coussy, Pascal Urard, Eric Martin, Conference: CoRR);01
Application of a design space exploration tool to enhance interleaver generation (Co-authors: Cyrille Chavet, Philippe Coussy, Pascal Urard, Eric Martin, Conference: CoRR);01
Integration de la synthese memoire dans l'outil de synthese d'architecture GAUT Low Power (Co-authors: Gwenole Corre, Nathalie Julien, Eric Senn, Eric Martin, Conference: CoRR);01
High-level synthesis under I/O Timing and Memory constraints (Co-authors: Philippe Coussy, Gwenole Corre, Pierre Bomel, Eric Senn, Eric Martin, Conference: CoRR);01
A Memory Aware High Level Synthesis Too (Co-authors: Gwenole Corre, Nathalie Julien, Eric Senn, Eric Martin, Conference: CoRR);01
Memory Aware High-Level Synthesis for Embedded Systems (Co-authors: Gwenole Corre, Eric Senn, Nathalie Julien, Eric Martin, Conference: CoRR);01
Synthese Comportementale Sous Contraintes de Communication et de Placement Memoire pour les composants du TDSI (Co-authors: Gwenole Corre, Philippe Coussy, Pierre Bomel, Eric Senn, Eric Martin, Conference: CoRR);01
Synchronization Processor Synthesis for Latency Insensitive Systems (Co-authors: Pierre Bomel, Eric Martin, Emmanuel Boutillon, Conference: CoRR);01
Identifying Clusters from Positive Data (Co-authors: John Case, Sanjay Jain, Eric Martin, Arun Sharma, Frank Stephan, Conference: Electronic Colloquium on Computational Complexity (ECCC));00
Induction by Enumeration (Co-authors: Eric Martin, Daniel N. Osherson, Conference: Inf. Comput.);00
Constrained algorithmic IP design for system-on-chip (Co-authors: Philippe Coussy, Emmanuel Casseau, Pierre Bomel, Adel Baganne, Eric Martin, Conference: Integration);01
Sensitivity Analysis and Other Improvements to Tailored Combinatorial Library Design (Co-authors: Eric Martin, Alex Wong, Conference: Journal of Chemical Information and Computer Sciences);04
Scientific Discovery Based on Belief Revision (Co-authors: Eric Martin, Daniel N. Osherson, Conference: J. Symb. Log.);00
Power Consumption Modeling and Characterization of the TI C6201 (Co-authors: Nathalie Julien, Johann Laurent, Eric Senn, Eric Martin, Conference: IEEE Micro);01
Identifying Clusters from Positive Data (Co-authors: John Case, Sanjay Jain, Eric Martin, Arun Sharma, Frank Stephan, Conference: SIAM J. Comput.);00
Learning power and language expressiveness (Co-authors: Eric Martin, Arun Sharma, Frank Stephan, Conference: Theor. Comput. Sci.);00
Unifying logic, topology and learning in Parametric logic (Co-authors: Eric Martin, Arun Sharma, Frank Stephan, Conference: Theor. Comput. Sci.);00
On ordinal VC-dimension and some notions of complexity (Co-authors: Eric Martin, Arun Sharma, Frank Stephan, Conference: Theor. Comput. Sci.);00
On the data consumption benefits of accepting increased uncertainty (Co-authors: Eric Martin, Arun Sharma, Frank Stephan, Conference: Theor. Comput. Sci.);00
Absolute versus probabilistic classification in a logical setting (Co-authors: Sanjay Jain, Eric Martin, Frank Stephan, Conference: Theor. Comput. Sci.);00
A formal method for hardware IP design and integration under I/O and timing constraints (Co-authors: Philippe Coussy, Emmanuel Casseau, Pierre Bomel, Adel Baganne, Eric Martin, Conference: ACM Trans. Embedded Comput. Syst.);01
Synthese architecturale d'applications temps reel pour technologies submicroniques (Co-authors: Emmanuel Casseau, Christophe Jego, Eric Martin, Conference: Technique et Science Informatiques);01
Estimation et optimisation de la consommation des memoires (Co-authors: Gwenole Corre, Eric Senn, Nathalie Julien, Eric Martin, Conference: Technique et Science Informatiques);01
Design of a flexible 2-D discrete wavelet transform IP core for JPEG2000 image coding in embedded imaging systems (Co-authors: Guillaume Savaton, Emmanuel Casseau, Eric Martin, Conference: Signal Processing);01
G729 Voice Decoder Design (Co-authors: Fatma Sayadi, Emmanuel Casseau, Mohamed Atri, Mehrez Marzougui, Rached Tourki, Eric Martin, Conference: VLSI Signal Processing);01
A Co-Design Methodology for Telecommunication Systems: A Case Study of an Acoustic Echo Canceller (Co-authors: Adel Baganne, Jean Luc Philippe, Eric Martin, Conference: VLSI Signal Processing);01
Low Power Synthesis Methodology with Data Format Optimization Applied on a DWT (Co-authors: Nathalie Julien, S. Gailhard, Eric Martin, Conference: VLSI Signal Processing);01
Human Discovery and Machine Learning (Co-authors: Christopher Dartnell, Eric Martin, Helene Hagege, Jean Sallantin, Conference: IJCINI);00
Autonomous capture of a tumbling satellite (Co-authors: Ioannis M. Rekleitis, Eric Martin, Guy Rouleau, Regent L'Archeveque, Kourosh Parsa, Erick Dupuis, Conference: J. Field Robotics);03
A Dialectic Approach to Problem-Solving (Co-authors: Eric Martin, Jean Sallantin, Conference: Discovery Science);00
Design Space Exploration of DSP Applications Based on Behavioral Description Models (Co-authors: Farhat Thabet, Philippe Coussy, Dominique Heller, Eric Martin, Conference: Genomics, Proteomics and Bioinformatics);01
Exploration and Rapid Prototyping of DSP Applications using SystemC Behavioral Simulation and High-level Synthesis (Co-authors: Farhat Thabet, Philippe Coussy, Dominique Heller, Eric Martin, Conference: Signal Processing Systems);01
Static Address Generation Easing: a Design Methodology for Parallel Interleaver Architectures (Co-authors: Cyrille Chavet, Philippe Coussy, Eric Martin, Pascal Urard, Conference: CoRR);01
Input-Dependence in Function-Learning. (Co-authors: Sanjay Jain, Eric Martin, Frank Stephan, Conference: Theory Comput. Syst.);00
Power Estimation of a C Algorithm Based on the Functional-Level Power Analysis of a Digital Signal Processor (Co-authors: Nathalie Julien, Johann Laurent, Eric Senn, Eric Martin, Conference: Proceedings of the 4th International Symposium on High Performance Computing);01
Learning from Each Other (Co-authors: Christopher Dartnell, Éric Martin, Jean Sallantin, Conference: Proceedings of the 11th International Conference on Discovery Science);00
Extending OBDD Graphs for Composite Event Matching in Content-Based Pub/Sub Systems (Co-authors: Gang Xu, Wei Xu, Tao Huang, Conference: ACIS-ICIS);10
Research on Models of Concept and Relation between Concepts Adapted for Semantic Disambiguation of Natural Language (Co-authors: Ke Zhao, Gangwei Hu, Wei Xu, Yatao Li, Conference: IEEE ICCI);13
Extractive Summarization using Inter- and Intra- Event Relevance (Co-authors: Wenjie Li, Mingli Wu, Qin Lu, Wei Xu, Chunfa Yuan, Conference: ACL);14
CCSMOMS: A Composite Communication Scheme for Mobile Object Management System (Co-authors: Xiaobo Fan, Wei Xu, Hong Chen, Lei Liu, Conference: AINA (2));15
The Distance Between Randomly Constructed Genomes (Co-authors: Wei Xu, Conference: APBC);18
A Framework for Application Server Based Web Services Management (Co-authors: Heqing Guan, Beihong Jin, Jun Wei, Wei Xu, Ningjiang Chen, Conference: APSEC);10
Deriving Event Relevance from the Ontology Constructed with Formal Concept Analysis (Co-authors: Wei Xu, Wenjie Li, Mingli Wu, Wei Li, Chunfa Yuan, Conference: CICLing);14
Category-Based Web Personalization System (Co-authors: Ching-Cheng Lee, Wei Xu, Conference: COMPSAC);113
Towards Dynamic Process with Variable Structure by Reflection (Co-authors: Shaohua Liu, Jun Wei, Wei Xu, Conference: COMPSAC);10
SOWAC: A Service-Oriented Workflow Access Control Model (Co-authors: Wei Xu, Jun Wei, Yu Liu, Jing Li, Conference: COMPSAC);10
An Algorithm for Solving Scaled Total Least Squares Problems (Co-authors: Sanzheng Qiao, Wei Xu, Yimin Wei, Conference: CSC);116
An Algorithm for Multiple Object Trajectory Tracking (Co-authors: Mei Han, Wei Xu, Hai Tao, Yihong Gong, Conference: CVPR (1));117
A Multi-Channel Algorithm for Edge Detection Under Varying Lighting (Co-authors: Wei Xu, Michael Jenkin, Yves Lesperance, Conference: CVPR (2));119
Soft Edge Smoothness Prior for Alpha Channel Super Resolution (Co-authors: Shengyang Dai, Mei Han, Wei Xu, Ying Wu, Yihong Gong, Conference: CVPR);117
Discriminative learning of visual words for 3D human pose estimation (Co-authors: Huazhong Ning, Wei Xu, Yihong Gong, Thomas S. Huang, Conference: CVPR);117
Control Considerations for Scalable Event Processing (Co-authors: Wei Xu, Joseph L. Hellerstein, Bill Kramer, David A. Patterson, Conference: DSOM);15
Latent Pose Estimator for Continuous Action Recognition (Co-authors: Huazhong Ning, Wei Xu, Yihong Gong, Thomas S. Huang, Conference: ECCV (2));117
Training Hierarchical Feed-Forward Visual Recognition Models Using Transfer Learning from Pseudo-Tasks (Co-authors: Amr Ahmed, Kai Yu, Wei Xu, Yihong Gong, Eric P. Xing, Conference: ECCV (3));117
An Extended Event Matching Approach in Content-based Pub/Sub Systems for EAI (Co-authors: Gang Xu, Wei Xu, Tao Huang, Conference: EDOC);10
Zum Einsatzpotenzial von Wetterderivaten in der Landwirtschaft - dargestellt am Beispiel einer Niederschlagsoption (Co-authors: Oliver Mushoff, Martin Odening, Wei Xu, Conference: GIL Jahrestagung);123
Design of a nanosensor array architecture (Co-authors: Wei Xu, Narayanan Vijaykrishnan, Yuan Xie, Mary Jane Irwin, Conference: ACM Great Lakes Symposium on VLSI);125
A Component-Based Analytical Performance Model of IP-Based SAN (Co-authors: Min Wang, Wei Xu, Lu Xu, Conference: GPC);10
Comparative Hypertext Approaches to Ergonomic Training (Co-authors: Wei Xu, Marvin J. Dainoff, Conference: HCI (2));128
Research on the Status Quo and System Architecture of the Web Information Resource Evaluation (Co-authors: Wei Xu, Ji Liu, Xiangxing Shen, Conference: I3E (2));126
Efficient user Scheduling under Low Rate Feedback for Correlated MIMO Broadcast Channels (Co-authors: Wei Xu, Chunming Zhao, Zhi Ding, Conference: ICC);130
Error Probability of OFDM Systems Impaired by Carrier Frequency Offset in Frequency Selective Rayleigh Fading Channels (Co-authors: Peng Zhou, Ming Jiang, Chunming Zhao, Wei Xu, Conference: ICC);130
Efficient Adaptive Resource Allocation for Multiuser OFDM Systems with Minimum Rate Constraints (Co-authors: Wei Xu, Chunming Zhao, Peng Zhou, Yijin Yang, Conference: ICC);130
A New Hybrid Approach for Analysis of Factors Affecting Crude Oil Price (Co-authors: Wei Xu, Jue Wang, Xun Zhang, Wen Zhang, Shouyang Wang, Conference: International Conference on Computational Science (3));131
Building Document Graphs for Multiple News Articles Summarization: An Event-Based Approach (Co-authors: Wei Xu, Chunfa Yuan, Wenjie Li, Mingli Wu, Kam-Fai Wong, Conference: ICCPOL);14
Provably Correct Runtime Enforcement of Non-interference Properties (Co-authors: V. N. Venkatakrishnan, Wei Xu, Daniel C. DuVarney, R. Sekar, Conference: ICICS);132
Improving Speaker Diarization by Cross EM Refinement (Co-authors: Huazhong Ning, Wei Xu, Yihong Gong, Thomas S. Huang, Conference: ICME);117
Efficient Video Object Segmentation by Graph-Cut (Co-authors: Jinjun Wang, Wei Xu, Shenghuo Zhu, Yihong Gong, Conference: ICME);117
Detecting Unsafe Driving Patterns using Discriminative Learning (Co-authors: Yue Zhou, Wei Xu, Huazhong Ning, Yihong Gong, Thomas S. Huang, Conference: ICME);117
Interfacial Behavior of Complex Hydrocarbon Fluids at Elevated Pressures and Temperatures (Co-authors: Subhash C. Ayirala, Wei Xu, Dandina N. Rao, Conference: ICMENS);134
Compositional Dependence of Wetting and Contact Angles in Solid-Liquid-Liquid Systems under Realistic Environments (Co-authors: Wei Xu, Subhash C. Ayirala, Dandina N. Rao, Conference: ICMENS);134
Exploration and Exploitation in Adaptive Filtering Based on Bayesian Active Learning (Co-authors: Yi Zhang, Wei Xu, James P. Callan, Conference: ICML);117
Video Foreground Segmentation Based on Sequential Feature Clustering (Co-authors: Mei Han, Wei Xu, Yihong Gong, Conference: ICPR (1));117
A Conditional Random Field Model for Video Super-resolution (Co-authors: Dan Kong, Mei Han, Wei Xu, Hai Tao, Yihong Gong, Conference: ICPR (3));117
Robust relative pose estimation with integrated cheirality constraint (Co-authors: Wei Xu, Jane Mulligan, Conference: ICPR);119
Temporal difference learning to detect unsafe system states (Co-authors: Huazhong Ning, Wei Xu, Yue Zhou, Yihong Gong, Thomas S. Huang, Conference: ICPR);117
Lights and Camera: Intelligently Controlled Multi-channel Pose Estimation System (Co-authors: Olena Borzenko, Wei Xu, Mark Obsniuk, Arjun Chopra, Piotr Jasiobedzki, Michael R. M. Jenkin, Yves Lesperance, Conference: ICVS);119
A Framework for Building Privacy-Conscious Composite Web Services (Co-authors: Wei Xu, V. N. Venkatakrishnan, R. Sekar, I. V. Ramakrishnan, Conference: ICWS);132
Spin-transfer torque magnetoresistive content addressable memory (CAM) cell structure design with enhanced search noise margin (Co-authors: Wei Xu, Tong Zhang, Yiran Chen, Conference: ISCAS);136
Extending OBDD Graphs for Composite Event Matching in Content-based Pub/Sub Systems (Co-authors: Gang Xu, Wei Xu, Tao Huang, Conference: ISPDC);10
An integrated baseball digest system using maximum entropy method (Co-authors: Mei Han, Wei Hua, Wei Xu, Yihong Gong, Conference: ACM Multimedia);117
Video object segmentation by motion-based sequential feature clustering (Co-authors: Mei Han, Wei Xu, Yihong Gong, Conference: ACM Multimedia);117
Deep Learning with Kernel Regularization for Visual Recognition (Co-authors: Kai Yu, Wei Xu, Yihong Gong, Conference: NIPS);117
Mining Console Logs for Large-Scale System Problem Detection (Co-authors: Wei Xu, Ling Huang, Armando Fox, David A. Patterson, Michael I. Jordan, Conference: SysML);15
Parallelism in Structured Newton Computations (Co-authors: Thomas F. Coleman, Wei Xu, Conference: PARCO);142
Diversifying and Improving Business Process Management Systems by Service Cooperation Middleware (Co-authors: Shaohua Liu, Jun Wei, Wei Xu, Conference: QSIC);10
Information Concept Lattice and Its Reductions (Co-authors: Wei Xu, Ping Xu, Wen-Xiu Zhang, Conference: RSKT);10
A hierarchical naive Bayes mixture model for name disambiguation in author citations (Co-authors: Hui Han, Wei Xu, Hongyuan Zha, C. Lee Giles, Conference: SAC);117
Incremental Spectral Clustering With Application to Monitoring of Evolving Blog Communities (Co-authors: Huazhong Ning, Wei Xu, Yun Chi, Yihong Gong, Thomas S. Huang, Conference: SDM);117
Literature-based Alignment of Ontologies (Co-authors: Patrick Lambrix, He Tan, Wei Xu, Conference: OM);143
Document clustering with prior knowledge (Co-authors: Xiang Ji, Wei Xu, Conference: SIGIR);117
Document clustering with cluster refinement and model selection capabilities (Co-authors: Xin Liu, Yihong Gong, Wei Xu, Shenghuo Zhu, Conference: SIGIR);117
Document clustering by concept factorization (Co-authors: Wei Xu, Yihong Gong, Conference: SIGIR);117
Document clustering based on non-negative matrix factorization (Co-authors: Wei Xu, Xin Liu, Yihong Gong, Conference: SIGIR);117
Multi-labelled classification using maximum entropy method (Co-authors: Shenghuo Zhu, Xiang Ji, Wei Xu, Yihong Gong, Conference: SIGIR);117
Fast exact maximum likelihood estimation for mixture of language models (Co-authors: Yi Zhang, Wei Xu, Conference: SIGIR);117
trNon-greedy active learning for text categorization using convex ansductive experimental design (Co-authors: Kai Yu, Shenghuo Zhu, Wei Xu, Yihong Gong, Conference: SIGIR);117
An efficient and backwards-compatible transformation to ensure memory safety of C programs (Co-authors: Wei Xu, Daniel C. DuVarney, R. Sekar, Conference: SIGSOFT FSE);132
A Shared-Path-Protection Based Heuristic Algorithm for the Capacity Placement Problem in Mesh Networks (Co-authors: Wei Xu, Xingming Li, Conference: SNPD (1));147
BUPT at TREC 2006: Spam Track (Co-authors: Zhen Yang, Wei Xu, Bo Chen, Weiran Xu, Jun Guo, Conference: TREC);146
A Nanosensor Array-Based VLSI Gas Discriminator (Co-authors: Kevin M. Irick, Wei Xu, Narayanan Vijaykrishnan, Mary Jane Irwin, Conference: VLSI Design);125
Background Segmentation Using Spatial-Temporal Multi-Resolution MRF (Co-authors: Yue Zhou, Wei Xu, Hai Tao, Yihong Gong, Conference: WACV/MOTION);117
A Transaction-Aware Coordination Protocol for Web Services Composition (Co-authors: Wei Xu, Wenqing Cheng, Wei Liu, Conference: WISE);111
An approach for realizing privacy-preserving web-based services (Co-authors: Wei Xu, R. Sekar, I. V. Ramakrishnan, V. N. Venkatakrishnan, Conference: WWW (Special interest tracks and posters));132
Research and Application of Spatio-temporal Data Mining Based on Ontology (Co-authors: Wei Xu, Hou-Kuan Huang, Conference: ICICIC (2));11
An Analytical Performance Model of IP-SAN (Co-authors: Min Wang, Liu Liu, Wei Xu, Lu Xu, Conference: NAS);10
Predictive Control for Dynamic Resource Allocation in Enterprise Data Centers (Co-authors: Wei Xu, Xiaoyun Zhu, Sharad Singhal, Zhikui Wang, Conference: NOMS);15
Instrumentation and experiment design for in-vitro interface temperature measurement during the insertion of an orthopaedic implant (Co-authors: Wei Xu, Conference: ICARCV);16
Tikhonov regularization for weighted total least squares problems (Co-authors: Yimin Wei, Naimin Zhang, Michael K. Ng, Wei Xu, Conference: Appl. Math. Lett.);116
The termination criterion for subdivision of the rational Bezier curves (Co-authors: Guojin Wang, Wei Xu, Conference: CVGIP: Graphical Model and Image Processing);120
Maximum entropy model-based baseball highlight detection and classification (Co-authors: Yihong Gong, Mei Han, Wei Hua, Wei Xu, Conference: Computer Vision and Image Understanding);117
Fuzzy inference based on fuzzy concept lattice (Co-authors: Shi-Qing Fan, Wen-Xiu Zhang, Wei Xu, Conference: Fuzzy Sets and Systems);10
Lossless Subdivision-Based Multiresolution Representation of Arbitrary Triangle Meshes Using Kite Trees (Co-authors: Wei Xu, Richard Hammersley, Karen Lu, Donald S. Fussell, Conference: Int. J. Found. Comput. Sci.);114
Fast exact maximum likelihood estimation for mixture of language model (Co-authors: Yi Zhang, Wei Xu, Conference: Inf. Process. Manage.);117
Design fuzzy controllers for complex systems with an application to 3-stage inverted pendulums (Co-authors: Hongmin Zhang, Xiwen Ma, Wei Xu, Peizhuang Wang, Conference: Inf. Sci.);115
Paths and Cycles in Breakpoint Graph of Random Multichromosomal Genomes (Co-authors: Wei Xu, Chunfang Zheng, David Sankoff, Conference: Journal of Computational Biology);18
Multi-object trajectory tracking (Co-authors: Mei Han, Wei Xu, Hai Tao, Yihong Gong, Conference: Mach. Vis. Appl.);117
The design and characteristics of piezomotors using flexure-hinged displacement amplifiers (Co-authors: Tim King, Wei Xu, Conference: Robotics and Autonomous Systems);124
Neuroscience output of China: A MEDLINE-based bibliometric study (Co-authors: Wei Xu, Yi-Zhang Chen, Zhi-Chao Shen, Conference: Scientometrics);127
SoftCuts: A Soft Edge Smoothness Prior for Color Image Super-Resolution (Co-authors: Shengyang Dai, Mei Han, Wei Xu, Ying Wu, Yihong Gong, Aggelos K. Katsaggelos, Conference: IEEE Transactions on Image Processing);117
Bifurcations of travelling wave solutions in a model of the hydrogen-bonded systems (Co-authors: Jianwei Shen, Jibin Li, Wei Xu, Conference: Applied Mathematics and Computation);122
Responses of strongly non-linear oscillator parametrically excited by random narrow-band noise (Co-authors: Xiaoli Yang, Wei Xu, Zhongkui Sun, Yong Xu, Conference: Applied Mathematics and Computation);122
Bifurcation method and traveling wave solution to Whitham-Broer-Kaup equation (Co-authors: Jianwei Shen, Wei Xu, Yanfei Jin, Conference: Applied Mathematics and Computation);122
Bifurcations of traveling wave solutions for a class of the generalized Benjamin-Bona-Mahony equation (Co-authors: Xiaoshan Zhao, Wei Xu, Shuang Li, Jianwei Shen, Conference: Applied Mathematics and Computation);122
Chaos controlling of extended nonlinear Lienard system based on the Melnikov theory (Co-authors: Ruihong Li, Wei Xu, Shuang Li, Conference: Applied Mathematics and Computation);122
Smooth and non-smooth travelling wave solutions of generalized Degasperis-Procesi equation (Co-authors: Jianwei Shen, Wei Xu, Conference: Applied Mathematics and Computation);122
Analysis of chaotic behavior in the extended Duffing-Van der Pol system subject to additive non-symmetry biharmonical excitation (Co-authors: Zhan-guo Li, Wei Xu, Xiao-yan Zhang, Conference: Applied Mathematics and Computation);122
A series of explicit and exact travelling wave solutions of the B(m, n) equations (Co-authors: Wei Xu, Liang Gao, Yaning Tang, Jianwei Shen, Conference: Applied Mathematics and Computation);122
Bifurcations of limit cycles for a perturbed quintic Hamiltonian system with four infinite singular points (Co-authors: Hongxian Zhou, Wei Xu, Xiaoshan Zhao, Bingchang Zhou, Conference: Applied Mathematics and Computation);122
Stochastic Hopf bifurcation and chaos of stochastic Bonhoeffer-van der Pol system via Chebyshev polynomial approximation (Co-authors: Ying Zhang, Wei Xu, Tong Fang, Conference: Applied Mathematics and Computation);122
On the number of limit cycles of a cubic polynomials Hamiltonian system under quintic perturbation (Co-authors: Hongxian Zhou, Wei Xu, Shuang Li, Ying Zhang, Conference: Applied Mathematics and Computation);122
